filename,width,height,class,xmin,ymin,xmax,ymax
0606_NI001_slice020_png_jpg.rf.87d1ab9d490d642a3a2d0ce585b0cc95.jpg,224,224,NSCLC,142,159,143,162
0324_NI001_slice001_png_jpg.rf.87f198a866cd69c40f0a0fb53962cec6.jpg,224,224,NSCLC,153,145,155,148
0916_NI006_slice001_png_jpg.rf.87d3f1a3b7391ddec2c375ac9418e875.jpg,224,224,SCLC,40,144,43,147
0650_NI000_slice005_png_jpg.rf.87bb382a3801532ec18bb398c621d4f4.jpg,224,224,NSCLC,76,138,79,141
0464_NI000_slice001_png_jpg.rf.87bc864d366a36dc548f44be68339795.jpg,224,224,NSCLC,61,105,64,108
1011_NI001_slice003_png_jpg.rf.87e977ea32a8d9d190c03915699a2230.jpg,224,224,NSCLC,162,106,174,116
0537_NI000_slice004_png_jpg.rf.87f3228a6da4776080cc1f1a512cd752.jpg,224,224,SCLC,186,81,189,84
0546_NI000_slice010_png_jpg.rf.8754e958cd3b471263d63bfc80af881b.jpg,224,224,NSCLC,176,113,188,126
0241_NI000_slice001_png_jpg.rf.882d82a0e3789b5cd1667b665b0b8495.jpg,224,224,NSCLC,34,149,36,151
0859_NI000_slice003_png_jpg.rf.879e014fdc5267ec1ad22a9890f07881.jpg,224,224,NSCLC,190,103,192,105
0947_NI004_slice007_png_jpg.rf.87fabd5fdd254b6fc4c93c150e3638fa.jpg,224,224,NSCLC,66,162,70,166
0660_NI004_slice005_png_jpg.rf.879cede8f506a53821d39b763e4ca501.jpg,224,224,NSCLC,176,157,178,159
0702_NI004_slice034_png_jpg.rf.880d80f140481d34d153fb9eecb5731b.jpg,224,224,NSCLC,57,131,69,141
0594_NI002_slice004_png_jpg.rf.8780e98dbc95c2678e870509863b1d2a.jpg,224,224,NSCLC,167,69,176,79
0776_NI000_slice007_png_jpg.rf.88237182c614242407533e3db670667d.jpg,224,224,NSCLC,132,124,135,127
0299_NI000_slice005_png_jpg.rf.87f16afee42638d872cc4181d8fed7a8.jpg,224,224,NSCLC,44,121,47,126
0702_NI000_slice006_png_jpg.rf.8784e80f9a3fe84810d376b97790be8c.jpg,224,224,NSCLC,152,134,157,139
0775_NI006_slice003_png_jpg.rf.880d91f7c130726fdbc13ee774271f25.jpg,224,224,NSCLC,38,92,43,98
0347_NI000_slice003_png_jpg.rf.8788ada24c6887e7e3b53d487d6d0745.jpg,224,224,NSCLC,44,139,52,144
0464_NI002_slice001_png_jpg.rf.87ff4dec1c72c0fcbdfd0ef484ed6fec.jpg,224,224,NSCLC,58,107,68,118
0978_NI004_slice011_png_jpg.rf.881a946dfb5ab4fa3ce22cc3b219c6f2.jpg,224,224,NSCLC,142,155,147,160
0266_NI000_slice006_png_jpg.rf.882807655b5ac034e376f0df1f627514.jpg,224,224,NSCLC,70,133,81,138
0509_NI003_slice000_png_jpg.rf.87770a7b08bacbd5cd4a3c65a285e3b7.jpg,224,224,NSCLC,99,140,100,142
0166_NI000_slice005_png_jpg.rf.882f4ea20ea1af11068dacd9f46867c0.jpg,224,224,NSCLC,86,131,103,152
0308_NI002_slice000_png_jpg.rf.88456fb83ca6bbf08a9b3c5b146d1959.jpg,224,224,SCLC,145,157,149,161
0940_NI000_slice013_png_jpg.rf.8868fa56bb3769035fdee162b5fb602f.jpg,224,224,NSCLC,53,75,59,82
0433_NI004_slice002_png_jpg.rf.88844b2b6ff2f4e28928fef568c085ce.jpg,224,224,NSCLC,68,155,71,157
0376_NI000_slice001_png_jpg.rf.88847193332dd430b61d9a890629cbb6.jpg,224,224,SCLC,57,61,58,62
0673_NI000_slice008_png_jpg.rf.886f870d610b34f21da7d2868c4b256d.jpg,224,224,NSCLC,86,68,90,71
0445_NI001_slice002_png_jpg.rf.887e2412d78eea94b8ac5e2c010ab6e7.jpg,224,224,NSCLC,145,167,150,171
0386_NI002_slice001_png_jpg.rf.88484692043e86b579e44e9c9b054af3.jpg,224,224,SCLC,65,161,67,163
0466_NI001_slice008_png_jpg.rf.885ab36943800f06d0e414b033cbc6e3.jpg,224,224,NSCLC,85,90,96,106
0583_NI014_slice001_png_jpg.rf.88edc6c772f5334f5f2d598149509899.jpg,224,224,NSCLC,47,124,48,127
0398_NI004_slice003_png_jpg.rf.88b0e720fc1113dac37dce5a2e640d1c.jpg,224,224,NSCLC,70,82,71,83
0164_NI002_slice001_png_jpg.rf.88a8909cce450c899ad8462a8f0f1f2a.jpg,224,224,NSCLC,169,144,174,147

0870_NI005_slice001_png_jpg.rf.8878ed4511baa2828d005855847e7c49.jpg,224,224,NSCLC,87,162,90,165
0806_NI009_slice000_png_jpg.rf.88a5f0f5922ff1f976ae3d8ce7e06a6b.jpg,224,224,NSCLC,160,72,162,73
0175_NI000_slice003_png_jpg.rf.88f0012e3ca21a4a05186495b760ea8c.jpg,224,224,NSCLC,179,105,182,107
0866_NI006_slice001_png_jpg.rf.88df2814eb1697a5084c86fddaecfbe8.jpg,224,224,SCLC,71,93,75,96
0604_NI005_slice015_png_jpg.rf.88fb40cdb893af0cb752c85412530761.jpg,224,224,SCLC,123,58,125,59
0879_NI007_slice002_png_jpg.rf.88be01d403e868db398419b84b9562bb.jpg,224,224,NSCLC,94,134,97,137
0344_NI000_slice001_png_jpg.rf.88c0a0c6f2d8ebe2f28444b5cb558bdd.jpg,224,224,NSCLC,22,93,23,95
0651_NI002_slice015_png_jpg.rf.892d6c04170e6fd565ff5b4fa207b486.jpg,224,224,NSCLC,122,142,130,150
0790_NI001_slice018_png_jpg.rf.8896609b048de58861c79570c5210c77.jpg,224,224,NSCLC,156,55,172,63
0994_NI005_slice001_png_jpg.rf.889daec0dc7f554894a40d815c61bded.jpg,224,224,SCLC,171,109,178,114
0461_NI004_slice004_png_jpg.rf.896bafdaa4242c3df860d813fdb71fd9.jpg,224,224,NSCLC,81,134,83,135
0870_NI000_slice005_png_jpg.rf.891d8117fdc139d2e64f50b53adf7fc6.jpg,224,224,NSCLC,174,180,177,182
0928_NI000_slice002_png_jpg.rf.89447173827c76c1522d61f8145913c5.jpg,224,224,NSCLC,146,167,148,169
0961_NI007_slice002_png_jpg.rf.894bfe4362055ce73600067563f1fceb.jpg,224,224,SCLC,62,144,63,146
0582_NI000_slice003_png_jpg.rf.89620643e6e227a0f505bc08add1ea90.jpg,224,224,SCLC,174,52,177,56
0229_NI006_slice004_png_jpg.rf.892e9eb9b4d7c411048ffbc410c1ae33.jpg,224,224,NSCLC,79,151,87,159
0523_NI001_slice008_png_jpg.rf.89077d8bdac77efa07e7b48e67a32086.jpg,224,224,NSCLC,71,74,73,77
0394_NI000_slice007_png_jpg.rf.89719a383bf8cd604197f4df8238ecfd.jpg,224,224,NSCLC,55,65,59,71
0629_NI000_slice001_png_jpg.rf.898e417b24f2dd6c19a57afe3e27cd62.jpg,224,224,SCLC,92,161,99,167
0179_NI010_slice000_png_jpg.rf.897db2ccc8bd04b105ac69d62501aa35.jpg,224,224,NSCLC,63,123,69,127
0601_NI000_slice003_png_jpg.rf.89b388d8ec7b30eaf1810dba60bd6ca8.jpg,224,224,NSCLC,127,156,131,160
0350_NI001_slice000_png_jpg.rf.89a7d22dcd1008e51aca9ab7956cb8a7.jpg,224,224,SCLC,54,133,56,135
0299_NI002_slice003_png_jpg.rf.89d24b64290c636a581455ce8dd8ae15.jpg,224,224,NSCLC,96,128,99,132

0893_NI001_slice009_png_jpg.rf.89ba55cc954fa53c7132489a6ef61746.jpg,224,224,NSCLC,68,142,80,153
0144_NI003_slice000_png_jpg.rf.897e0a33a6383174e59731d0c41908a1.jpg,224,224,SCLC,146,162,148,163
0661_NI004_slice012_png_jpg.rf.89f88eabd62477af5171ccf07efcc92a.jpg,224,224,NSCLC,59,113,78,134

0144_NI001_slice004_png_jpg.rf.89aa6693dee18fb6c4911f0a842ec8e9.jpg,224,224,NSCLC,134,151,136,152
0311_NI000_slice016_png_jpg.rf.89e39910ef7d0e6fe4cd0e8a16cc4f2f.jpg,224,224,NSCLC,144,122,157,130
0596_NI001_slice007_png_jpg.rf.89d33f6b4de51d9365f06fb5b1c2b65a.jpg,224,224,NSCLC,60,157,63,160
0801_NI001_slice006_png_jpg.rf.8a1290ae34f89e5ad62f241b14caab05.jpg,224,224,SCLC,173,157,179,162
1003_NI005_slice001_png_jpg.rf.8a384986b71dd39cec74e1818ac51a1a.jpg,224,224,SCLC,62,59,68,62
